,pl_bmasse,hostname,st_teff,sy_snum,st_metratio,st_spectype,st_mass,st_logg,sy_pnum
4,22.7,GJ 143,4640.0,1,[Fe/H],K4.5,0.73,4.61,2
6,1.84,GJ 357,3505.0,1,[Fe/H],M2.5 V,0.34,4.94,3
7,0.546,GJ 367,3522.0,1,[Fe/H],M1.0 V,0.45,4.78,1
8,1.21,GJ 3929,3369.0,1,[Fe/H],M3.5 V,0.31,4.84,1
14,4.55,HD 110113,5732.0,1,[Fe/H],G,1.0,4.46,2
16,11.56,HD 152843,6310.0,1,[Fe/H],G0,1.15,4.19,2
17,27.5,HD 152843,6310.0,1,[Fe/H],G0,1.15,4.19,2
18,7.51,HD 15337,5125.0,1,[Fe/H],K1 V,0.9,4.53,2
19,8.11,HD 15337,5125.0,1,[Fe/H],K1 V,0.9,4.53,2
21,10.4,HD 191939,5348.0,1,[Fe/H],G9 V,0.81,4.3,5
22,7.2,HD 191939,5348.0,1,[Fe/H],G9 V,0.81,4.3,5
23,5.8,HD 191939,5348.0,1,[Fe/H],G9 V,0.81,4.3,5
25,14.4,HD 207897,5070.0,1,[Fe/H],K0 V,0.8,4.56,1
26,8.83,HD 213885,5978.0,1,[Fe/H],G,1.07,4.38,2
27,3.7,GJ 143,4640.0,1,[Fe/H],K4.5,0.73,4.61,2
33,77.55052,HD 332231,6089.0,1,[Fe/H],F8,1.13,4.28,1
34,7.8,HD 5278,6203.0,1,[Fe/H],F V,1.13,4.5,2
38,10.2,HD 73583,4511.0,1,[Fe/H],K4 V,0.73,4.62,2
39,9.7,HD 73583,4511.0,1,[Fe/H],K4 V,0.73,4.62,2
40,7.25,HD 86226,5863.0,1,[Fe/H],G1 V,1.02,4.4,2
44,20.0,HIP 97166,5198.0,1,[Fe/H],K0 V,0.9,4.41,2
48,4.6,L 168-9,3800.0,1,[Fe/H],M1 V,0.62,4.04,1
49,0.4,L 98-59,3415.0,1,[Fe/H],M3 V,0.27,4.86,4
50,2.22,L 98-59,3415.0,1,[Fe/H],M3 V,0.27,4.86,4
51,1.94,L 98-59,3415.0,1,[Fe/H],M3 V,0.27,4.86,4
